x,y,response,size,octave
164.39,31.81,0.015464,9.819,20
164.56,30.53,0.015852,7.422,17
164.69,139.66,0.005372,15.019,25
164.69,139.66,0.005372,15.019,25
164.91,126.05,0.005700,3.864,9
165.29,235.76,0.014552,9.727,20
165.37,36.54,0.015468,2.657,5
166.00,68.31,0.005104,1.791,0
166.35,19.96,0.011740,9.075,19
167.41,275.52,0.008114,3.179,7
167.56,53.65,0.006316,2.657,5
167.59,44.98,0.005703,2.345,3
168.27,102.43,0.005179,1.791,0
168.27,102.43,0.005179,1.791,0
168.67,34.48,0.010665,2.807,5
169.16,249.30,0.008361,1.881,1
169.28,99.63,0.005423,2.528,4
169.34,40.99,0.010022,3.405,8
169.40,48.18,0.007733,3.118,7
169.40,48.18,0.007733,3.118,7
169.42,40.98,0.010126,3.340,7
169.90,132.40,0.005394,5.569,13
170.17,111.01,0.006739,1.751,0
171.05,120.10,0.005785,1.904,1
171.15,297.53,0.005391,15.817,25
171.45,79.44,0.006614,7.696,17
171.57,24.76,0.012504,2.453,4
171.81,27.65,0.011059,1.962,1
171.85,155.82,0.007167,9.865,20
171.85,155.82,0.007167,9.865,20
172.28,87.50,0.008889,3.068,7
172.78,19.10,0.008420,4.298,10
172.93,300.25,0.005314,19.813,28
173.15,44.27,0.006892,3.004,6
173.15,44.27,0.006892,3.004,6
173.50,107.40,0.006769,2.001,2
173.67,126.58,0.007805,6.119,14
173.80,55.48,0.011424,3.312,7
174.40,38.32,0.010339,3.639,8
174.40,38.32,0.010339,3.639,8
174.45,246.35,0.021720,6.185,15
175.50,64.44,0.005755,2.343,3
175.69,261.41,0.008637,2.388,4
175.94,61.63,0.009314,1.771,0
176.08,12.31,0.013977,12.187,22
176.26,41.12,0.006063,2.019,2
176.32,38.57,0.010654,1.943,1
176.46,120.04,0.005167,2.046,2
177.04,72.76,0.008301,1.975,1
178.17,254.37,0.012825,7.133,16
178.17,254.37,0.012825,7.133,16
179.43,48.56,0.011963,2.816,6
179.46,42.38,0.006470,4.433,11
179.49,118.13,0.005172,1.891,1
179.49,118.13,0.005172,1.891,1
179.62,45.94,0.005698,1.909,1
