x,y,response,size,octave
212.00,133.00,35.000000,31.000,0
232.00,179.00,33.000000,31.000,0
239.00,170.00,34.000000,31.000,0
230.00,176.00,32.000000,31.000,0
279.00,27.00,35.000000,31.000,0
267.00,31.00,43.000000,31.000,0
267.00,23.00,41.000000,31.000,0
388.00,295.00,23.000000,31.000,0
379.00,294.00,29.000000,31.000,0
380.00,275.00,56.000000,31.000,0
445.00,51.00,11.000000,31.000,0
434.00,57.00,14.000000,31.000,0
447.00,41.00,11.000000,31.000,0
446.00,73.00,97.000000,31.000,0
440.00,71.00,61.000000,31.000,0
442.00,69.00,73.000000,31.000,0
593.00,290.00,9.000000,31.000,0
592.00,288.00,15.000000,31.000,0
585.00,279.00,11.000000,31.000,0
697.00,165.00,46.000000,31.000,0
699.00,154.00,58.000000,31.000,0
698.00,144.00,37.000000,31.000,0
698.00,125.00,42.000000,31.000,0
801.00,186.00,32.000000,31.000,0
795.00,182.00,29.000000,31.000,0
807.00,176.00,22.000000,31.000,0
790.00,168.00,32.000000,31.000,0
862.00,233.00,44.000000,31.000,0
847.00,231.00,54.000000,31.000,0
971.00,242.00,105.000000,31.000,0
975.00,235.00,45.000000,31.000,0
961.00,236.00,27.000000,31.000,0
1014.00,183.00,60.000000,31.000,0
1003.00,183.00,139.000000,31.000,0
1010.00,175.00,144.000000,31.000,0
1004.00,174.00,27.000000,31.000,0
1082.00,179.00,40.000000,31.000,0
1089.00,171.00,12.000000,31.000,0
1076.00,176.00,20.000000,31.000,0
1200.00,352.00,7.000000,31.000,0
1191.00,356.00,8.000000,31.000,0
1201.00,345.00,8.000000,31.000,0
1194.00,344.00,12.000000,31.000,0
86.00,92.00,34.000000,31.000,0
74.00,92.00,20.000000,31.000,0
91.00,83.00,33.000000,31.000,0
140.00,356.00,10.000000,31.000,0
132.00,355.00,11.000000,31.000,0
148.00,345.00,17.000000,31.000,0
133.00,342.00,12.000000,31.000,0
181.00,32.00,36.000000,31.000,0
176.00,32.00,51.000000,31.000,0
184.00,25.00,29.000000,31.000,0
172.00,25.00,45.000000,31.000,0
201.00,264.00,20.000000,31.000,0
199.00,262.00,51.000000,31.000,0
186.00,259.00,56.000000,31.000,0
204.00,122.00,23.000000,31.000,0
189.00,118.00,35.000000,31.000,0
199.00,110.00,34.000000,31.000,0
192.00,105.00,47.000000,31.000,0
216.00,93.00,33.000000,31.000,0
207.00,100.00,27.000000,31.000,0
216.00,88.00,32.000000,31.000,0
214.00,90.00,33.000000,31.000,0
277.00,58.00,56.000000,31.000,0
267.00,51.00,33.000000,31.000,0
272.00,42.00,24.000000,31.000,0
295.00,50.00,33.000000,31.000,0
282.00,55.00,36.000000,31.000,0
294.00,43.00,31.000000,31.000,0
290.00,46.00,24.000000,31.000,0
312.00,285.00,61.000000,31.000,0
308.00,286.00,30.000000,31.000,0
317.00,284.00,24.000000,31.000,0
304.00,276.00,19.000000,31.000,0
316.00,350.00,9.000000,31.000,0
